Dataset,Lambda,Standard Accuracy,HS Accuracy,Standard AUC,HS AUC
sonar,0,0.6634615384615384,0.6634615384615384,0.6658307792328411,0.6658307792328411
sonar,0.1,0.6634615384615384,0.6634615384615384,0.6658307792328411,0.6658307792328411
sonar,1,0.6634615384615384,0.6634615384615384,0.6658307792328411,0.6658307792328411
sonar,10,0.6634615384615384,0.6634615384615384,0.6658307792328411,0.6658307792328411
sonar,25,0.6634615384615384,0.6634615384615384,0.6658307792328411,0.6658307792328411
sonar,50,0.6634615384615384,0.6634615384615384,0.6658307792328411,0.6658307792328411
sonar,100,0.6634615384615384,0.6634615384615384,0.6658307792328411,0.6658307792328411
heart,0,0.7888888888888889,0.7888888888888889,0.7808333333333334,0.7808333333333334
heart,0.1,0.7888888888888889,0.7888888888888889,0.7808333333333334,0.7808333333333334
heart,1,0.7888888888888889,0.7888888888888889,0.7808333333333334,0.7808333333333334
heart,10,0.7888888888888889,0.7888888888888889,0.7808333333333334,0.7808333333333334
heart,25,0.7888888888888889,0.7888888888888889,0.7808333333333334,0.7808333333333334
heart,50,0.7888888888888889,0.7888888888888889,0.7808333333333334,0.7808333333333334
heart,100,0.7888888888888889,0.7888888888888889,0.7808333333333334,0.7808333333333334
breast_cancer,0,0.6967509025270758,0.6967509025270758,0.5539178634416729,0.5539178634416729
breast_cancer,0.1,0.6967509025270758,0.6967509025270758,0.5539178634416729,0.5539178634416729
breast_cancer,1,0.6967509025270758,0.6967509025270758,0.5539178634416729,0.5539178634416729
breast_cancer,10,0.6967509025270758,0.6967509025270758,0.5539178634416729,0.5539178634416729
breast_cancer,25,0.6967509025270758,0.6967509025270758,0.5539178634416729,0.5539178634416729
breast_cancer,50,0.6967509025270758,0.6967509025270758,0.5539178634416729,0.5539178634416729
breast_cancer,100,0.6967509025270758,0.6967509025270758,0.5539178634416729,0.5539178634416729
haberman,0,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
haberman,0.1,0.7189542483660131,0.7189542483660131,0.4888888888888889,0.4888888888888889
